2026-03-06 13:52:39 | DEBUG    | matplotlib:342 | matplotlib data path: C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\matplotlib\mpl-data
2026-03-06 13:52:39 | DEBUG    | matplotlib:342 | CONFIGDIR=C:\Users\A1\.matplotlib
2026-03-06 13:52:39 | DEBUG    | matplotlib:1560 | interactive is False
2026-03-06 13:52:39 | DEBUG    | matplotlib:1561 | platform is win32
2026-03-06 14:01:53 | DEBUG    | matplotlib:342 | matplotlib data path: C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\matplotlib\mpl-data
2026-03-06 14:01:53 | DEBUG    | matplotlib:342 | CONFIGDIR=C:\Users\A1\.matplotlib
2026-03-06 14:01:53 | DEBUG    | matplotlib:1560 | interactive is False
2026-03-06 14:01:53 | DEBUG    | matplotlib:1561 | platform is win32
2026-03-06 14:04:44 | DEBUG    | matplotlib:342 | matplotlib data path: C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\matplotlib\mpl-data
2026-03-06 14:04:44 | DEBUG    | matplotlib:342 | CONFIGDIR=C:\Users\A1\.matplotlib
2026-03-06 14:04:44 | DEBUG    | matplotlib:1560 | interactive is False
2026-03-06 14:04:44 | DEBUG    | matplotlib:1561 | platform is win32
2026-03-06 14:05:27 | DEBUG    | matplotlib:342 | matplotlib data path: C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\matplotlib\mpl-data
2026-03-06 14:05:27 | DEBUG    | matplotlib:342 | CONFIGDIR=C:\Users\A1\.matplotlib
2026-03-06 14:05:27 | DEBUG    | matplotlib:1560 | interactive is False
2026-03-06 14:05:27 | DEBUG    | matplotlib:1561 | platform is win32
2026-03-06 14:07:04 | DEBUG    | matplotlib:342 | matplotlib data path: C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\matplotlib\mpl-data
2026-03-06 14:07:04 | DEBUG    | matplotlib:342 | CONFIGDIR=C:\Users\A1\.matplotlib
2026-03-06 14:07:04 | DEBUG    | matplotlib:1560 | interactive is False
2026-03-06 14:07:04 | DEBUG    | matplotlib:1561 | platform is win32
2026-03-06 14:09:28 | DEBUG    | matplotlib:342 | matplotlib data path: C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\matplotlib\mpl-data
