2026-03-16 17:19:44 | ERROR    | backpack_quant_trading.core.api_client:257 | 响应状态码: 401
2026-03-16 17:19:44 | ERROR    | backpack_quant_trading.core.api_client:258 | 响应内容: {"code":"UNAUTHORIZED","message":"Unauthorized"}
2026-03-16 17:19:44 | ERROR    | backpack_quant_trading.core.api_client:259 | 请求URL: https://api.backpack.exchange/api/v1/orders
2026-03-16 17:19:44 | ERROR    | backpack_quant_trading.core.api_client:260 | 请求头: {'Content-Type': 'application/json; charset=utf-8', 'Cookie': 'accessKey=11; refreshKey=111'}
2026-03-16 17:23:01 | ERROR    | asyncio:1865 | Task was destroyed but it is pending!
task: <Task pending name='Task-15862' coro=<WebSocketCommonProtocol.transfer_data() running at C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\websockets\legacy\protocol.py:968> wait_for=<Future pending cb=[Task.task_wakeup()]> cb=[Task.task_wakeup()]>
2026-03-16 17:23:01 | ERROR    | asyncio:1865 | Task was destroyed but it is pending!
task: <Task pending name='Task-15863' coro=<WebSocketCommonProtocol.keepalive_ping() running at C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\websockets\legacy\protocol.py:1259> wait_for=<Future pending cb=[Task.task_wakeup()]>>
2026-03-16 17:23:01 | ERROR    | asyncio:1865 | Task was destroyed but it is pending!
task: <Task pending name='Task-15864' coro=<WebSocketCommonProtocol.close_connection() running at C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\websockets\legacy\protocol.py:1314> wait_for=<Task pending name='Task-15862' coro=<WebSocketCommonProtocol.transfer_data() running at C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\websockets\legacy\protocol.py:968> wait_for=<Future pending cb=[Task.task_wakeup()]> cb=[Task.task_wakeup()]>>
2026-03-24 16:27:26 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000260DEA1A270>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 16:27:42 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000260DE9F34D0>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 16:28:08 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000260DE987390>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 16:28:28 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000260DE986FD0>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 16:28:31 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000260DE985E50>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 16:28:31 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000260DE986C10>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 16:28:46 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000260DE987110>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 16:29:06 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000260DE987D90>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 16:48:05 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2026-03-24 16:48:10 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Read timed out. (read timeout=15)
2026-03-24 17:06:30 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000015C9A6F1400>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 17:06:51 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000015C9A6FB250>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 17:07:25 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000015C9A6FA990>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
