2026-04-02 15:15:19 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...","v":"3.0737","n":17}}' [157 bytes]
2026-04-02 15:15:20 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...","v":"3.0981","n":18}}' [157 bytes]
2026-04-02 15:15:21 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...","v":"3.1037","n":19}}' [157 bytes]
2026-04-02 15:15:22 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...","v":"3.6111","n":21}}' [157 bytes]
2026-04-02 15:15:23 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...","v":"6.6111","n":22}}' [157 bytes]
2026-04-02 15:15:24 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...","v":"6.6767","n":23}}' [157 bytes]
2026-04-02 15:15:25 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...","v":"7.1197","n":25}}' [157 bytes]
2026-04-02 15:15:26 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...,"v":"57.1188","n":46}}' [158 bytes]
2026-04-02 15:15:27 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...,"v":"57.1242","n":47}}' [158 bytes]
2026-04-02 15:15:28 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...,"v":"58.1242","n":50}}' [158 bytes]
2026-04-02 15:15:30 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...,"v":"58.1763","n":51}}' [158 bytes]
2026-04-02 15:15:35 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...,"v":"58.3413","n":55}}' [158 bytes]
2026-04-02 15:15:35 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...,"v":"58.3657","n":56}}' [158 bytes]
2026-04-02 15:15:37 | DEBUG    | websockets.client:1270 | % sending keepalive ping
2026-04-02 15:15:37 | DEBUG    | websockets.client:1183 | > PING 50 d7 72 30 [binary, 4 bytes]
2026-04-02 15:15:37 | DEBUG    | websockets.client:1177 | < PONG 50 d7 72 30 [binary, 4 bytes]
2026-04-02 15:15:37 | DEBUG    | websockets.client:1280 | % received keepalive pong
