交易 #,类型,日期和时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
27,空头出场,2025-04-17 12:00,信号离场,1584.04,6.1464,10000.00841,263.86,2.64,549.55,5.50,-207.2,-2.07,625.9,6.26
27,空头进场,2025-04-15 00:00,做空入场,1626.97,6.1464,10000.00841,263.86,2.64,549.55,5.50,-207.2,-2.07,625.9,6.26
28,空头出场,2025-04-21 08:00,止损/保本,1644.18,6.2645,9999.958705,-300.01,-3.00,197.96,1.98,-300.01,-3.00,325.89,3.26
28,空头进场,2025-04-19 20:00,做空入场,1596.29,6.2645,9999.958705,-300.01,-3.00,197.96,1.98,-300.01,-3.00,325.89,3.26
29,空头出场,2025-04-22 12:00,止损/保本,1620.05,6.3578,9999.929308,-300.02,-3.00,240.71,2.41,-300.02,-3.00,25.87,0.26
29,空头进场,2025-04-22 04:00,做空入场,1572.86,6.3578,9999.929308,-300.02,-3.00,240.71,2.41,-300.02,-3.00,25.87,0.26
30,空头出场,2025-04-25 20:00,止损/保本,1821.86,5.6535,9999.854265,-300.03,-3.00,177.46,1.77,-300.03,-3.00,-274.16,-2.74
30,空头进场,2025-04-25 08:00,做空入场,1768.79,5.6535,9999.854265,-300.03,-3.00,177.46,1.77,-300.03,-3.00,-274.16,-2.74
31,空头出场,2025-05-04 16:00,信号离场,1840.24,5.4844,9999.925896,-92.69,-0.93,85.5,0.86,-143.64,-1.44,-366.85,-3.67
31,空头进场,2025-05-03 20:00,做空入场,1823.34,5.4844,9999.925896,-92.69,-0.93,85.5,0.86,-143.64,-1.44,-366.85,-3.67
32,空头出场,2025-05-06 08:00,信号离场,1819.43,5.5745,9999.816825,-142.6,-1.43,10.31,0.10,-218.13,-2.18,-509.44,-5.09
32,空头进场,2025-05-05 12:00,做空入场,1793.85,5.5745,9999.816825,-142.6,-1.43,10.31,0.10,-218.13,-2.18,-509.44,-5.09
33,空头出场,2025-05-07 08:00,止损/保本,1822.17,5.6525,9999.781225,-300.03,-3.00,107.91,1.08,-300.03,-3.00,-809.48,-8.09
33,空头进场,2025-05-06 20:00,做空入场,1769.09,5.6525,9999.781225,-300.03,-3.00,107.91,1.08,-300.03,-3.00,-809.48,-8.09
34,空头出场,2025-05-08 08:00,止损/保本,1848.93,5.5707,9999.796449,-300.04,-3.00,39.38,0.39,-300.04,-3.00,-1109.52,-11.10
34,空头进场,2025-05-08 04:00,做空入场,1795.07,5.5707,9999.796449,-300.04,-3.00,39.38,0.39,-300.04,-3.00,-1109.52,-11.10
35,空头出场,2025-05-12 12:00,止损/保本,2588.89,3.9785,9999.88018,-300.02,-3.00,117.21,1.17,-300.02,-3.00,-1409.54,-14.10
35,空头进场,2025-05-12 08:00,做空入场,2513.48,3.9785,9999.88018,-300.02,-3.00,117.21,1.17,-300.02,-3.00,-1409.54,-14.10
36,空头出场,2025-05-19 20:00,止损/保本,2456,4.1938,9999.948348,-300.02,-3.00,157.14,1.57,-300.02,-3.00,-1709.56,-17.10
36,空头进场,2025-05-19 12:00,做空入场,2384.46,4.1938,9999.948348,-300.02,-3.00,157.14,1.57,-300.02,-3.00,-1709.56,-17.10
37,空头出场,2025-05-26 04:00,信号离场,2525.2,3.9066,9999.997482,135.05,1.35,399.14,3.99,-57.54,-0.58,-1574.51,-15.75
37,空头进场,2025-05-24 04:00,做空入场,2559.77,3.9066,9999.997482,135.05,1.35,399.14,3.99,-57.54,-0.58,-1574.51,-15.75
38,空头出场,2025-05-27 12:00,止损/保本,2616.17,3.937,9999.86189,-300,-3.00,125.87,1.26,-300,-3.00,-1874.51,-18.75
38,空头进场,2025-05-27 04:00,做空入场,2539.97,3.937,9999.86189,-300,-3.00,125.87,1.26,-300,-3.00,-1874.51,-18.75
39,空头出场,2025-06-01 04:00,信号离场,2536.47,3.8018,9999.87454,356.72,3.57,594.22,5.94,-68.89,-0.69,-1517.79,-15.18
39,空头进场,2025-05-30 08:00,做空入场,2630.3,3.8018,9999.87454,356.72,3.57,594.22,5.94,-68.89,-0.69,-1517.79,-15.18
40,空头出场,2025-06-10 04:00,止损/保本,2603.93,3.9555,9999.82044,-300.02,-3.00,587.23,5.87,-300.02,-3.00,-1817.81,-18.18
40,空头进场,2025-06-06 04:00,做空入场,2528.08,3.9555,9999.82044,-300.02,-3.00,587.23,5.87,-300.02,-3.00,-1817.81,-18.18
41,空头出场,2025-06-13 08:00,止盈,2565.03,3.6646,9999.813896,600,6.00,600,6.00,-160.36,-1.60,-1217.81,-12.18
41,空头进场,2025-06-12 20:00,做空入场,2728.76,3.6646,9999.813896,600,6.00,600,6.00,-160.36,-1.60,-1217.81,-12.18
42,空头出场,2025-06-16 12:00,止损/保本,2588.39,3.9793,9999.9809,-300,-3.00,104.74,1.05,-300,-3.00,-1517.8,-15.18
42,空头进场,2025-06-13 12:00,做空入场,2513,3.9793,9999.9809,-300,-3.00,104.74,1.05,-300,-3.00,-1517.8,-15.18
43,空头出场,2025-06-21 00:00,止盈,2390.52,3.9321,9999.762831,600,6.00,600,6.00,-293.45,-2.93,-917.81,-9.18
43,空头进场,2025-06-17 08:00,做空入场,2543.11,3.9321,9999.762831,600,6.00,600,6.00,-293.45,-2.93,-917.81,-9.18
44,空头出场,2025-06-22 04:00,止盈,2261.1,4.1572,9999.853596,600.01,6.00,600.01,6.00,-176.81,-1.77,-317.8,-3.18
44,空头进场,2025-06-21 08:00,做空入场,2405.43,4.1572,9999.853596,600.01,6.00,600.01,6.00,-176.81,-1.77,-317.8,-3.18
45,空头出场,2025-06-30 04:00,止损/保本,2504.96,4.1118,9999.8976,-300,-3.00,226.15,2.26,-300,-3.00,-617.79,-6.18
45,空头进场,2025-06-27 00:00,做空入场,2432,4.1118,9999.8976,-300,-3.00,226.15,2.26,-300,-3.00,-617.79,-6.18
