time,open,high,low,close,Volume,Histogram,MACD,Signal line
2025-08-29T02:30:00+08:00,131.65,132.77,130.08,130.2,61522,0.7962131024708119,-0.17030949636969694,-0.9665225988405088
2025-08-29T03:30:00+08:00,130.21,131.14,130,130.93,94615,0.7293516029693903,-0.05483309512877099,-0.7841846980981613
2025-08-29T21:30:00+08:00,131.42,133.65,128.97,131,273666,0.6608267928524831,0.041848792967442705,-0.6189779998850404
2025-08-29T22:30:00+08:00,131.03,134.08,129.2,132.93,238181,0.7120463324120981,0.27107991563008227,-0.44096641678201587
2025-08-29T23:30:00+08:00,133.03,134.12,130.58,133.75,102787,0.7631737931540878,0.5130008246605939,-0.2501729684934939
2025-08-30T00:30:00+08:00,133.7,135.96,133.7,134,115860,0.7734478588759597,0.7166368551014557,-0.05681100377450399
2025-08-30T01:30:00+08:00,134.13,134.71,132.87,133,42231,0.67604230066393,0.7882418720554085,0.11219957139147851
2025-08-30T02:30:00+08:00,132.91,134.36,132.91,133.43,36497,0.605969822694368,0.8696618497594386,0.26369202706507056
2025-08-30T03:30:00+08:00,133.33,133.55,131.85,132,83150,0.4366205224735995,0.8094676801570699,0.37284715768347043
2025-09-02T21:30:00+08:00,128.56,131.69,125.4,126.55,255390,-0.04361815150549864,0.3183244683015971,0.36194261980709574
2025-09-02T22:30:00+08:00,126.51,126.59,123.54,123.78,201875,-0.5224106035598995,-0.2910706346427787,0.23133996891712086
2025-09-02T23:30:00+08:00,123.72,123.72,121.65,121.95,130602,-0.9140182167991908,-0.9111828020818677,0.002835414717323098
2025-09-03T00:30:00+08:00,121.95,122.46,120.95,121.97,111498,-1.11030543346768,-1.385046377117277,-0.2747409436495969
2025-09-03T01:30:00+08:00,121.93,123,121.19,121.23,65146,-1.2198507231302929,-1.799554347562463,-0.57970362443217
2025-09-03T02:30:00+08:00,121.2,121.4,120.51,120.82,150901,-1.245445192708644,-2.136510115317975,-0.891064922609331
