交易 #,类型,日期和时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
93,多头出场,2025-12-23 04:00,趋止损,2979.34,9933.2485,29999900.46,-405375.88,-1.35,566294.5,1.89,-468352.66,-1.56,22092704,73.64
93,多头进场,2025-12-22 12:00,趋进,3020.15,9933.2485,29999900.46,-405375.88,-1.35,566294.5,1.89,-468352.66,-1.56,22092704,73.64
94,多头出场,2026-01-08 00:00,趋出,3163.13,10075.1606,29999999.71,1869043,6.23,3335180.5,11.12,-348802.06,-1.16,23961748,79.87
94,多头进场,2025-12-30 20:00,趋进,2977.62,10075.1606,29999999.71,1869043,6.23,3335180.5,11.12,-348802.06,-1.16,23961748,79.87
95,多头出场,2026-01-16 12:00,趋出,3293.71,9576.2814,30000095.56,1541398.2,5.14,2592203.5,8.64,-46923.78,-0.16,25503146,85.01
95,多头进场,2026-01-13 20:00,趋进,3132.75,9576.2814,30000095.56,1541398.2,5.14,2592203.5,8.64,-46923.78,-0.16,25503146,85.01
96,多头出场,2026-01-19 10:00,趋止损,3205.15,9042.954,30000090.32,-1016066.3,-3.39,463813.12,1.55,-1315840.2,-4.39,24487080,81.62
96,多头进场,2026-01-18 02:00,趋进,3317.51,9042.954,30000090.32,-1016066.3,-3.39,463813.12,1.55,-1315840.2,-4.39,24487080,81.62
97,多头出场,2026-03-03 18:00,趋止损,1950.41,14705.8823,29999999.89,-1317500,-4.39,264558.8,0.88,-1497352.9,-4.99,23169580,77.23
97,多头进场,2026-03-03 02:00,趋进,2040,14705.8823,29999999.89,-1317500,-4.39,264558.8,0.88,-1497352.9,-4.99,23169580,77.23
98,多头出场,2026-03-06 12:00,趋出,2083.07,14604.7231,29999999.86,422660.7,1.41,2151275.8,7.17,-270625.53,-0.90,23592240,78.64
98,多头进场,2026-03-04 20:00,趋进,2054.13,14604.7231,29999999.86,422660.7,1.41,2151275.8,7.17,-270625.53,-0.90,23592240,78.64
99,多头出场,2026-03-14 20:00,趋出,2072.84,14457.9706,29999855.26,-30795.48,-0.10,1937801.8,6.46,-848538.3,-2.83,23561444,78.54
99,多头进场,2026-03-12 04:00,趋进,2074.97,14457.9706,29999855.26,-30795.48,-0.10,1937801.8,6.46,-848538.3,-2.83,23561444,78.54
100,多头出场,2026-03-19 00:00,趋出,2186.43,14251.8491,29999999.84,1160670.6,3.87,4015743.5,13.39,-284609.44,-0.95,24722114,82.41
100,多头进场,2026-03-15 16:00,趋进,2104.99,14251.8491,29999999.84,1160670.6,3.87,4015743.5,13.39,-284609.44,-0.95,24722114,82.41
101,多头出场,2026-03-24 00:00,趋止损,2127.7,13732.7425,29999999.96,-780843.75,-2.60,99837.04,0.33,-839207.9,-2.80,23941272,79.80
101,多头进场,2026-03-23 22:00,趋进,2184.56,13732.7425,29999999.96,-780843.75,-2.60,99837.04,0.33,-839207.9,-2.80,23941272,79.80
102,多头出场,2026-03-26 14:00,趋止损,2119.08,13906.0138,29999860.75,-531905,-1.77,579463.6,1.93,-627022.2,-2.09,23409366,78.03
102,多头进场,2026-03-25 12:00,趋进,2157.33,13906.0138,29999860.75,-531905,-1.77,579463.6,1.93,-627022.2,-2.09,23409366,78.03
