交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
14,多头出场,2024-06-03 10:00,long close,18628.25,122,4559445,-14152,-0.31,24583,0.54,-108580,-2.38,269679,13.48
14,多头进场,2024-05-30 12:00,long 1,18686.25,122,4559445,-14152,-0.31,24583,0.54,-108580,-2.38,269679,13.48
15,多头出场,2024-06-03 10:00,long close,18628.25,121,4499022,9014.5,0.20,18634,0.41,-84639.5,-1.88,278693.5,13.93
15,多头进场,2024-05-31 06:00,long 2,18591,121,4499022,9014.5,0.20,18634,0.41,-84639.5,-1.88,278693.5,13.93
16,多头出场,2024-06-26 00:00,long close,19959.25,114,4549341,1368,0.03,27303,0.60,-51984,-1.14,280061.5,14.00
16,多头进场,2024-06-21 22:00,long 1,19953.25,114,4549341,1368,0.03,27303,0.60,-51984,-1.14,280061.5,14.00
17,多头出场,2024-06-26 00:00,long close,19959.25,113,4477173,33617.5,0.75,33843.5,0.76,-19266.5,-0.43,313679,15.68
17,多头进场,2024-06-25 02:00,long 2,19810.5,113,4477173,33617.5,0.75,33843.5,0.76,-19266.5,-0.43,313679,15.68
18,多头出场,2024-07-15 20:00,long close,20583.5,112,4587856,22848,0.50,58128,1.27,-33432,-0.73,336527,16.83
18,多头进场,2024-07-12 00:00,long 1,20481.5,112,4587856,22848,0.50,58128,1.27,-33432,-0.73,336527,16.83
19,多头出场,2024-07-22 22:00,long close,19970.25,114,4642878,-89661,-1.93,3021,0.07,-161766,-3.48,246866,12.34
19,多头进场,2024-07-17 16:00,long 1,20363.5,114,4642878,-89661,-1.93,3021,0.07,-161766,-3.48,246866,12.34
20,多头出场,2024-07-22 22:00,long close,19970.25,113,4533955.5,-20679,-0.46,22769.5,0.50,-92151.5,-2.03,226187,11.31
20,多头进场,2024-07-18 18:00,long 2,20061.75,113,4533955.5,-20679,-0.46,22769.5,0.50,-92151.5,-2.03,226187,11.31
21,多头出场,2024-07-29 10:00,long close,19294.75,114,4448736,-49533,-1.11,2622,0.06,-143298,-3.22,176654,8.83
21,多头进场,2024-07-24 22:00,long 1,19512,114,4448736,-49533,-1.11,2622,0.06,-143298,-3.22,176654,8.83
22,多头出场,2024-07-29 10:00,long close,19294.75,110,4178075,66770,1.60,74580,1.79,-11165,-0.27,243424,12.17
22,多头进场,2024-07-26 04:00,long 2,18991.25,110,4178075,66770,1.60,74580,1.79,-11165,-0.27,243424,12.17
23,多头出场,2024-08-01 16:00,long close,19536.25,118,4453320,157235,3.53,199833,4.49,-1888,-0.04,400659,20.03
23,多头进场,2024-07-31 06:00,long 1,18870,118,4453320,157235,3.53,199833,4.49,-1888,-0.04,400659,20.03
24,多头出场,2024-08-05 12:00,Risk control trading closed,17849.75,127,4772533,-238696.5,-5.00,3429,0.07,-238696.5,-5.00,161962.5,8.10
24,多头进场,2024-08-02 12:00,long 2,18789.5,127,4772533,-238696.5,-5.00,3429,0.07,-238696.5,-5.00,161962.5,8.10
25,多头出场,2024-08-29 18:00,long close,19487.5,112,4322640,42560,0.98,46592,1.08,-35504,-0.82,204522.5,10.23
25,多头进场,2024-08-29 02:00,long 1,19297.5,112,4322640,42560,0.98,46592,1.08,-35504,-0.82,204522.5,10.23
26,多头出场,2024-08-29 18:00,long close,19487.5,111,4260901.5,65323.5,1.53,69319.5,1.63,-499.5,-0.01,269846,13.49
26,多头进场,2024-08-29 08:00,long 2,19193.25,111,4260901.5,65323.5,1.53,69319.5,1.63,-499.5,-0.01,269846,13.49
27,多头出场,2024-09-10 06:00,long close,18723.75,118,4518869,-100064,-2.21,13570,0.30,-191278,-4.23,169782,8.49
27,多头进场,2024-09-04 00:00,long 1,19147.75,118,4518869,-100064,-2.21,13570,0.30,-191278,-4.23,169782,8.49
28,多头出场,2024-09-10 06:00,long close,18723.75,114,4209165,59850,1.42,62415,1.48,-28272,-0.67,229632,11.48
28,多头进场,2024-09-07 00:00,long 2,18461.25,114,4209165,59850,1.42,62415,1.48,-28272,-0.67,229632,11.48
29,多头出场,2024-10-03 22:00,long close,19975.75,111,4422961.5,11655,0.26,42568.5,0.96,-19924.5,-0.45,241287,12.06
29,多头进场,2024-10-02 00:00,long 1,19923.25,111,4422961.5,11655,0.26,42568.5,0.96,-19924.5,-0.45,241287,12.06
30,多头出场,2024-10-17 22:00,long close,20381.25,110,4449390,34485,0.78,81400,1.83,-4235,-0.10,275772,13.79
30,多头进场,2024-10-16 22:00,long 1,20224.5,110,4449390,34485,0.78,81400,1.83,-4235,-0.10,275772,13.79
