交易 #,类型,日期和时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
158,多头出场,2025-05-05 10:00,趋止损,1791.81,13521.7689,24893306.11,-664865.4,-2.67,15820.47,0.06,-799542.2,-3.21,19121748,63.74
158,多头进场,2025-05-04 16:00,趋进,1840.98,13521.7689,24893306.11,-664865.4,-2.67,15820.47,0.06,-799542.2,-3.21,19121748,63.74
159,多头出场,2025-05-08 02:00,趋止损,1796.25,13401.3966,24560873.56,-488614.9,-1.99,192176.03,0.78,-587919.25,-2.39,18633132,62.11
159,多头进场,2025-05-07 10:00,趋进,1832.71,13401.3966,24560873.56,-488614.9,-1.99,192176.03,0.78,-587919.25,-2.39,18633132,62.11
160,多头出场,2025-05-12 08:00,趋出,2514.58,12819.9866,24316565.98,7920316,32.57,9119626,37.50,-9871.39,-0.04,26553448,88.51
160,多头进场,2025-05-08 14:00,趋进,1896.77,12819.9866,24316565.98,7920316,32.57,9119626,37.50,-9871.39,-0.04,26553448,88.51
161,多头出场,2025-05-19 10:00,趋止损,2428.7,10831.7113,28276615.62,-1969638.4,-6.97,1386025.8,4.90,-3112275.5,-11.01,24583810,81.95
161,多头进场,2025-05-14 02:00,趋进,2610.54,10831.7113,28276615.62,-1969638.4,-6.97,1386025.8,4.90,-3112275.5,-11.01,24583810,81.95
162,多头出场,2025-05-22 02:00,趋止损,2472.8,10894.972,27291904.86,-350818.1,-1.29,1208797.1,4.43,-682025.25,-2.50,24232992,80.78
162,多头进场,2025-05-20 02:00,趋进,2505,10894.972,27291904.86,-350818.1,-1.29,1208797.1,4.43,-682025.25,-2.50,24232992,80.78
163,多头出场,2025-05-24 04:00,趋出,2560.97,10313.435,27116495.84,-704098.2,-2.60,1082807.5,3.99,-1350441.1,-4.98,23528894,78.43
163,多头进场,2025-05-22 12:00,趋进,2629.24,10313.435,27116495.84,-704098.2,-2.60,1082807.5,3.99,-1350441.1,-4.98,23528894,78.43
164,多头出场,2025-05-30 08:00,趋出,2631.39,9688.4875,26764446.72,-1270257.6,-4.75,41660.5,0.16,-1389813.5,-5.19,22258636,74.20
164,多头进场,2025-05-29 12:00,趋进,2762.5,9688.4875,26764446.72,-1270257.6,-4.75,41660.5,0.16,-1389813.5,-5.19,22258636,74.20
165,多头出场,2025-06-06 02:00,趋止损,2570.19,9956.3016,26129417.48,-539830.7,-2.07,552276.06,2.11,-711875.56,-2.72,21718806,72.40
165,多头进场,2025-06-04 20:00,趋进,2624.41,9956.3016,26129417.48,-539830.7,-2.07,552276.06,2.11,-711875.56,-2.72,21718806,72.40
166,多头出场,2025-06-26 22:00,趋止损,2433.67,10385.761,25859298.6,-583783.6,-2.26,109258.2,0.42,-680994.4,-2.63,21135022,70.45
166,多头进场,2025-06-26 16:00,趋进,2489.88,10385.761,25859298.6,-583783.6,-2.26,109258.2,0.42,-680994.4,-2.63,21135022,70.45
167,多头出场,2025-06-30 04:00,趋出,2437.97,10461.0814,25567510.61,-63707.98,-0.25,207338.64,0.81,-203049.6,-0.79,21071314,70.24
167,多头进场,2025-06-29 02:00,趋进,2444.06,10461.0814,25567510.61,-63707.98,-0.25,207338.64,0.81,-203049.6,-0.79,21071314,70.24
168,多头出场,2025-07-02 00:00,趋止损,2423.54,10171.137,25535758.26,-885600.9,-3.47,117578.34,0.46,-1056882.9,-4.14,20185712,67.29
168,多头进场,2025-06-30 10:00,趋进,2510.61,10171.137,25535758.26,-885600.9,-3.47,117578.34,0.46,-1056882.9,-4.14,20185712,67.29
169,多头出场,2025-07-05 00:00,趋出,2500.52,10259.9895,25092753.72,562555.25,2.24,1947448.6,7.76,-144973.66,-0.58,20748268,69.16
169,多头进场,2025-07-02 20:00,趋进,2445.69,10259.9895,25092753.72,562555.25,2.24,1947448.6,7.76,-144973.66,-0.58,20748268,69.16
170,多头出场,2025-07-13 04:00,趋出,2941.18,9804.1172,25374035.73,3461637.8,13.64,4431951,17.47,-296476.5,-1.17,24209906,80.70
170,多头进场,2025-07-08 22:00,趋进,2588.1,9804.1172,25374035.73,3461637.8,13.64,4431951,17.47,-296476.5,-1.17,24209906,80.70
171,多头出场,2025-07-19 20:00,趋出,3552.75,8915.4283,27104863.43,4569424.5,16.86,5648993.5,20.84,-960726.56,-3.54,28779330,95.93
171,多头进场,2025-07-14 14:00,趋进,3040.22,8915.4283,27104863.43,4569424.5,16.86,5648993.5,20.84,-960726.56,-3.54,28779330,95.93
172,多头出场,2025-07-21 16:00,趋出,3787.7,7927.8968,29389744.06,638750.6,2.17,930972.94,3.17,-202399.2,-0.69,29418080,98.06
172,多头进场,2025-07-20 18:00,趋进,3707.13,7927.8968,29389744.06,638750.6,2.17,930972.94,3.17,-202399.2,-0.69,29418080,98.06
173,多头出场,2025-07-29 12:00,趋出,3791.91,7796.8912,29709040.32,-143930.61,-0.48,1018507.9,3.43,-2397700,-8.07,29274150,97.58
173,多头进场,2025-07-22 00:00,趋进,3810.37,7796.8912,29709040.32,-143930.61,-0.48,1018507.9,3.43,-2397700,-8.07,29274150,97.58
174,多头出场,2025-08-01 04:00,趋出,3737.71,7671.4203,29637074.76,-963530.4,-3.25,117833.02,0.40,-984319.94,-3.32,28310620,94.37
174,多头进场,2025-07-31 12:00,趋进,3863.31,7671.4203,29637074.76,-963530.4,-3.25,117833.02,0.40,-984319.94,-3.32,28310620,94.37
175,多头出场,2025-08-11 12:00,趋出,4309.65,7914.7882,29155388.7,4954578.5,16.99,5218536.5,17.90,-285169.8,-0.98,33265198,110.88
175,多头进场,2025-08-07 04:00,趋进,3683.66,7914.7882,29155388.7,4954578.5,16.99,5218536.5,17.90,-285169.8,-0.98,33265198,110.88
176,多头出场,2025-08-15 04:00,趋出,4537.64,7072.4986,31632598.69,459853.84,1.45,2230524.5,7.05,-228017.36,-0.72,33725052,112.42
176,多头进场,2025-08-13 00:00,趋进,4472.62,7072.4986,31632598.69,459853.84,1.45,2230524.5,7.05,-228017.36,-0.72,33725052,112.42
177,多头出场,2025-08-29 00:00,趋止损,4504.01,6947.024,31862456.11,-572990.56,-1.80,205145.62,0.64,-705053.44,-2.21,33152062,110.51
177,多头进场,2025-08-28 18:00,趋进,4586.49,6947.024,31862456.11,-572990.56,-1.80,205145.62,0.64,-705053.44,-2.21,33152062,110.51
178,多头出场,2025-09-09 20:00,趋止损,4347.33,7239.6683,31576030.48,-102803.29,-0.33,37935.86,0.12,-140232.38,-0.44,33049258,110.16
178,多头进场,2025-09-09 16:00,趋进,4361.53,7239.6683,31576030.48,-102803.29,-0.33,37935.86,0.12,-140232.38,-0.44,33049258,110.16
179,多头出场,2025-09-20 00:00,趋止损,4474.93,6960.3391,31524628.64,-377598.4,-1.20,802457.5,2.55,-581466.75,-1.84,32671660,108.91
179,多头进场,2025-09-18 06:00,趋进,4529.18,6960.3391,31524628.64,-377598.4,-1.20,802457.5,2.55,-581466.75,-1.84,32671660,108.91
180,多头出场,2025-10-04 20:00,趋出,4483.84,7290.454,31335902.29,1353327,4.32,2138873.5,6.83,-132759.17,-0.42,34024988,113.42
180,多头进场,2025-10-01 20:00,趋进,4298.21,7290.454,31335902.29,1353327,4.32,2138873.5,6.83,-132759.17,-0.42,34024988,113.42
181,多头出场,2025-10-08 04:00,趋出,4479.48,6950.2175,32012562.8,-879202.5,-2.75,1035721.44,3.24,-1110992.2,-3.47,33145784,110.49
181,多头进场,2025-10-05 16:00,趋进,4605.98,6950.2175,32012562.8,-879202.5,-2.75,1035721.44,3.24,-1110992.2,-3.47,33145784,110.49
182,多头出场,2025-10-29 00:00,趋出,4096.86,7988.1016,31572811.81,1153322.1,3.65,2406335.8,7.62,-267202,-0.85,34299108,114.33
182,多头进场,2025-10-26 06:00,趋进,3952.48,7988.1016,31572811.81,1153322.1,3.65,2406335.8,7.62,-267202,-0.85,34299108,114.33
183,多头出场,2025-11-13 18:00,趋止损,3486.43,9085.0283,32149553.05,-475237.84,-1.48,102297.42,0.32,-569449.56,-1.77,33823868,112.75
183,多头进场,2025-11-13 16:00,趋进,3538.74,9085.0283,32149553.05,-475237.84,-1.48,102297.42,0.32,-569449.56,-1.77,33823868,112.75
184,多头出场,2025-11-26 12:00,趋止损,2927.19,10743.6014,31911934.11,-463371.53,-1.45,66395.45,0.21,-518271.34,-1.62,33360496,111.20
184,多头进场,2025-11-26 10:00,趋进,2970.32,10743.6014,31911934.11,-463371.53,-1.45,66395.45,0.21,-518271.34,-1.62,33360496,111.20
185,多头出场,2025-11-29 16:00,趋出,3004.9,10447.6659,31680248.36,-286057.1,-0.90,697068.25,2.20,-485816.47,-1.53,33074440,110.25
