time,open,high,low,close,Histogram,MACD,Signal line,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Open Interest,Open Interest (开盘价),Open Interest (最高价,Open Interest (最低价),Open Interest (关闭),Volume Delta (开盘价),Volume Delta (最高价,Volume Delta (最低价),Volume Delta (关闭),CDV Line,CDV Candles (开盘价),CDV Candles (最高价,CDV Candles (最低价),CDV Candles (关闭),SMA 1,SMA 2,EMA 1,EMA 2
2026-03-10T01:30:00+08:00,44.23,44.605,44.12,44.45,-0.053134633657569846,-0.25449351268924403,-0.20135887903167418,48.77427733769574,45.62244852840866,,,,,,,,,,0,305976,0,218098,,93705669.29039052,94378680.16360499,93705669.29039052,94176475.26154312,,,,
2026-03-10T02:30:00+08:00,44.43,45.58,44.41,45.57,0.053565687121983646,-0.13440177012919463,-0.18796745725117828,58.49728274984988,45.976599221333686,,,,,,,,,,0,795973,0,795973,,93941072.27596682,95405795.99693832,93941072.27596682,94892238.08027166,,,,
2026-03-10T03:30:00+08:00,45.56,45.76,45.34,45.56,0.11871086601560316,-0.03957887473167432,-0.15828974074727747,58.390715712337304,45.98673094195639,,,,,,,,,,0,346619,0,331562,,94416655.17811924,95951942.99693832,94416655.17811924,95678869.49693832,,,,
2026-03-10T21:30:00+08:00,45.44,47.205,45.4,46.42,0.2096458705520709,0.10376759744281117,-0.10587827310925974,64.39760406484505,47.348393920141056,,,,,,,,,,0,1720576,0,1121088,,95047762.33752878,98214197.72547017,95047762.33752878,97083070.36120424,,,,
2026-03-10T22:30:00+08:00,46.41,47.66,46.41,47.41,0.31979694591906127,0.29386790928956685,-0.025929036629494417,69.80212416242996,48.92061058368906,,,,,,,,,,0,1205517,0,1052612,,96065416.34936652,99989285.72547017,96065416.34936652,99101741.72547017,,,,
2026-03-10T23:30:00+08:00,47.4,47.87,47.3,47.325,0.3668851102867071,0.4326773512288895,0.06579224094218238,68.83593636236881,50.50738432742114,,,,,,,,,,0,562079,0,330555,,97583579.03741834,99989285.72547017,97583579.03741834,99638995.56099649,,,,
2026-03-11T00:30:00+08:00,47.34,47.62,47.18,47.525,0.38933005319437186,0.5524548074351472,0.16312475424077533,69.8919541476008,52.10604373287752,,,,,,,,,,0,176069,-100130,153513,,98611287.29920742,99690964.62947735,98611287.29920742,99489835.01300007,,,,
2026-03-11T01:30:00+08:00,47.53,47.58,46.77,46.93,0.34353009663408407,0.5925373750333804,0.24900727839929637,63.0472461531438,53.37695285095254,,,,,,,,,,0,0,-293122,-215610,,99050561.15610375,99690964.62947735,99039729.14799587,99365346.88873662,,,,
2026-03-11T02:30:00+08:00,46.94,47.155,46.66,46.71,0.2805051179668232,0.5996386758578254,0.3191335578910022,60.680942584910625,55.087937419537866,,,,,,,,,,0,80003,-120128,-120128,,99207954.02242018,99207954.02242018,98548951.01668274,98794340.08233932,,,,
2026-03-11T03:30:00+08:00,46.71,46.93,46.58,46.79,0.22849367391372477,0.6047506502831581,0.37625697636943334,61.25048050891147,56.82751514522236,,,,,,,,,,0,436787,-61575,436787,,99001147.05237976,99014365.20239703,98548951.01668274,98781658.1095399,,,,
2026-03-11T21:30:00+08:00,46.815,48.83,46.66,48.38,0.28195571489356414,0.7287016199863885,0.44674590509282436,70.42101482333969,59.310181901105885,,,,,,,,,,0,1637554,0,1305063,,98891402.58095983,101472794.69894081,98891402.58095983,100243579.95066893,,,,
2026-03-11T22:30:00+08:00,48.375,48.66,48,48.29,0.2908676150793904,0.8103304239420623,0.5194628088626719,69.41953981121154,61.20371389116491,,,,,,,,,,0,122588,-189328,-166954,,99567491.26581438,101472794.69894081,99567491.26581438,101116058.78606203,,,,
2026-03-11T23:30:00+08:00,48.3,48.36,47.84,48.01,0.25860087130463816,0.8427138979934696,0.5841130266888315,66.26232095892416,62.57890935531383,,,,,,,,,,0,0,-349500,-246799,,100341775.02593821,100759322.87318324,100212950.61356784,100486136.74337554,,,,
2026-03-12T00:30:00+08:00,48,48.259,47.92,48.085,0.2242814942452196,0.8644648944953559,0.6401834002501363,66.69920429843934,64.02647454828632,,,,,,,,,,0,51063,-157612,1954,,100413955.88465688,100590089.23303688,100212950.61356784,100401519.92330235,,,,
2026-03-12T01:30:00+08:00,48.085,48.1,47.62,47.915,0.17432813433642969,0.8580935681706734,0.6837654338342437,64.65545420759466,65.16084432470767,,,,,,,,,,0,0,-122860,-18068,,100407737.90397961,100590089.23303688,100292983.71220355,100441536.47262022,,,,
2026-03-12T02:30:00+08:00,47.91,48.08,47.44,47.695,0.11360612225668276,0.8257730866550972,0.7121669643984144,62.00750391330828,65.41157440781184,,,,,,,,,,0,76043,-78107,55712,,100424637.18829992,100424637.18829992,99893247.16532855,100093115.43876605,,,,
2026-03-12T03:30:00+08:00,47.69,48.08,47.66,47.96,0.0800103114500067,0.8121798537109228,0.7321695422609161,63.92409629297797,65.8068158778576,,,,,,,,,,0,319850,0,11692,,100258876.31353298,100636617.02247141,99893247.16532855,100264932.09389998,,,,
2026-03-12T21:30:00+08:00,47.38,47.435,46.01,46.01,-0.07636065904397082,0.6367187184559526,0.7130793774999235,45.667716954299905,64.46896679853295,,,,,,,,,,0,0,-1009894,-916965,,100261904.20371649,100636617.02247141,98135149.88387492,99385883.45317316,,,,
2026-03-12T22:30:00+08:00,46.01,46.3,45.58,45.82,-0.18899436670854475,0.47683641911424246,0.6658307858227872,44.338978777414425,62.650170699603265,,,,,,,,,,0,0,-1024310,-926457,,99823893.82844482,99823893.82844482,97101127.62693048,97618138.7554027,,,,
2026-03-12T23:30:00+08:00,45.81,46.18,45.54,45.58,-0.271070087088608,0.3269931769620271,0.5980632640506351,42.65087036247059,60.77980884246768,,,,,,,,,,0,218373,-209885,-209885,,98721016.29192376,98721016.29192376,95979955.22849298,96540541.42771173,,,,
2026-03-13T00:30:00+08:00,45.58,45.855,45.52,45.59,-0.3131178686445748,0.20666592824491659,0.5197837968894914,42.74867818903314,58.841003416855706,,,,,,,,,,0,265396,0,25814,,97630778.85981774,97630778.85981774,95979955.22849298,96198230.5493885,,,,
2026-03-13T01:30:00+08:00,45.6,45.765,45.27,45.53,-0.3316262769331784,0.10525095072301838,0.4368772276561968,42.28272140141833,57.35782307744673,,,,,,,,,,0,8474,-320318,-184227,,96914504.70460312,96914504.70460312,95931142.90563756,96173824.38796079,,,,
2026-03-13T02:30:00+08:00,45.53,45.56,45.2,45.42,-0.33684546056970804,0.015820401944061757,0.3526658625137698,41.3919526275652,55.9800380804935,,,,,,,,,,0,0,-258257,-785,,96544164.54628196,96544164.54628196,95451746.16952646,95691444.53758201,,,,
2026-03-13T03:30:00+08:00,45.415,45.545,45.17,45.26,-0.33588476166827597,-0.06719008957157513,0.26869467209670084,40.06965376793256,54.46712188470929,,,,,,,,,,0,190788,-187418,190788,,96117804.54193199,96117804.54193199,94724194.67619312,95087970.42285979,,,,
2026-03-13T21:30:00+08:00,45.95,46.64,45.905,46.14,-0.2639650738554514,-0.06126167022261342,0.20270340363283798,49.605222742323726,52.980279593208145,,,,,,,,,,0,798447,0,401507,,95602887.48239589,96123703.9449006,94724194.67619312,95423949.31054688,,,,
2026-03-13T22:30:00+08:00,46.13,46.295,45.56,45.925,-0.22061852745620106,-0.07306975568741336,0.1475487717687877,47.61199609043655,51.42259789886708,,,,,,,,,,0,71782,-172869,-138388,,95513418.39647138,96123703.9449006,95513418.39647138,95839026.54354005,,,,
