time,open,high,low,close,Volume
2024-05-21T14:00:00+08:00,18675.81,18691.56,18670.18,18683.18,12367
2024-05-21T16:00:00+08:00,18683.18,18683.68,18657.43,18664.56,15018
2024-05-21T18:00:00+08:00,18664.56,18688.31,18664.56,18678.93,14589
2024-05-21T20:00:00+08:00,18678.93,18686.18,18606.710000000003,18636.33,128828
2024-05-21T22:00:00+08:00,18636.33,18692.08,18630.33,18673.460000000003,106386
2024-05-22T00:00:00+08:00,18673.460000000003,18704.460000000003,18662.83,18704.33,73112
2024-05-22T02:00:00+08:00,18704.33,18737.210000000003,18683.710000000003,18729.08,77817
2024-05-22T04:00:00+08:00,18729.08,18735.81,18721.81,18727.38,7555
2024-05-22T06:00:00+08:00,18727.38,18746.030000000002,18726.030000000002,18744.15,4815
2024-05-22T08:00:00+08:00,18744.15,18747.780000000002,18736.9,18746.780000000002,10730
2024-05-22T10:00:00+08:00,18746.780000000002,18754.15,18737.9,18740.4,7821
2024-05-22T12:00:00+08:00,18740.4,18750.65,18738.530000000002,18749.9,5089
2024-05-22T14:00:00+08:00,18749.9,18751.030000000002,18719.4,18730.4,20132
2024-05-22T16:00:00+08:00,18730.4,18738.15,18701.65,18709.65,17888
2024-05-22T18:00:00+08:00,18709.65,18741.780000000002,18685.530000000002,18723.15,20441
2024-05-22T20:00:00+08:00,18723.15,18761.050000000003,18716.9,18754.93,79991
2024-05-22T22:00:00+08:00,18754.93,18769.43,18730.93,18750.300000000003,114609
2024-05-23T00:00:00+08:00,18750.300000000003,18763.18,18677.050000000003,18702.93,95305
2024-05-23T02:00:00+08:00,18702.93,18724.93,18615.43,18724.550000000003,202614
2024-05-23T04:00:00+08:00,18724.550000000003,18820.65,18622.350000000002,18746.350000000002,41694
2024-05-23T06:00:00+08:00,18746.350000000002,18809.88,18746.350000000002,18807.760000000002,12862
2024-05-23T08:00:00+08:00,18807.760000000002,18842.510000000002,18794.88,18834.13,17292
2024-05-23T10:00:00+08:00,18834.13,18898.38,18831.260000000002,18895.010000000002,20338
2024-05-23T12:00:00+08:00,18895.010000000002,18903.13,18880.63,18883.38,11687
2024-05-23T14:00:00+08:00,18883.38,18887.510000000002,18861.38,18865.260000000002,22773
2024-05-23T16:00:00+08:00,18865.260000000002,18887.63,18861.63,18879.13,22818
2024-05-23T18:00:00+08:00,18879.13,18924.13,18875.38,18921.38,18870
2024-05-23T20:00:00+08:00,18921.38,18955.13,18771.41,18784.91,146810
2024-05-23T22:00:00+08:00,18784.91,18864.030000000002,18735.16,18848.66,177360
2024-05-24T00:00:00+08:00,18848.66,18866.41,18644.530000000002,18650.030000000002,170046
2024-05-24T02:00:00+08:00,18650.030000000002,18658.41,18555.030000000002,18630.030000000002,240038
2024-05-24T04:00:00+08:00,18630.030000000002,18636.88,18612.13,18619.460000000003,12587
2024-05-24T06:00:00+08:00,18619.460000000003,18650.890000000003,18615.27,18636.02,9239
2024-05-24T08:00:00+08:00,18636.02,18666.890000000003,18629.640000000003,18661.640000000003,17546
2024-05-24T10:00:00+08:00,18661.640000000003,18665.27,18645.140000000003,18646.890000000003,12018
2024-05-24T12:00:00+08:00,18646.890000000003,18652.77,18639.140000000003,18645.140000000003,10401
2024-05-24T14:00:00+08:00,18645.140000000003,18647.390000000003,18618.27,18641.390000000003,25010
